Will i want?;Хочу ли я?
I will explain.;Я объясню.
Do i explain?;Я объясню?
I don't explain.;Я не объясняю
I explain.;Я объясняю.
Did i explain?;Я объяснил?
I didn't explain.;Я не объяснил.
I explained.;Я объяснил.
Will you explain?;Ты объяснишь?
You will not explain.;Вы не будете объяснять.
You will explain.;Вы объясните.
Do you explain?;Вы объясняете?
You don't explain.;Вы не объясняете.
You explain.;Вы объясняете.
Did you explain?;Вы объяснили?
You didn't explain.;Вы не объяснили.
You explained.;Вы объяснили.
Will we explain?;Мы объясним?
We will not explain.;Мы не будем объяснять.
We will explain.;Мы объясним.
Do we explain?;Мы объясняем?
We don't explain.;Мы не объясняем.
We explain.;Мы объясняем.
Did we explain?;Мы объяснили?
We didn't explain.;Мы не объяснили.
We explained.;Мы объяснили.
Will they explain?;Они объяснят?
They will not explain.;Они не объяснят.
They will explain.;Они объяснят.
Do they explain?;Они объясняют?
They don't explain.;Они не объясняют.
They explain.;Они объясняют.
Did they explain?;Они объяснили?
They didn't explain.;Они не объяснили.
They explained.;Они объяснили.
Will he explain?;Он объяснит?
He will not explain.;Он не объяснит.
He will explain.;Он объяснит.
Does he explain?;Он объясняет?
He doesn't explain.;Он не объясняет.
He explaines.;Он объясняет.
Did he explain?;Он объяснил?
He didn't explain.;Он не объяснил.
He explained.;Он объяснил.
Will she explain?;Она объяснит?
She will not explain.;Она не объяснит.
She will explain.;Она объяснит.
Does she explain?;Она объясняет?
She doesn't explain.;Она не объясняет.
She explaines.;Она объясняет
Did she explain?;Она объяснила?
She didn't explain.;Она не объяснила.
She explained.;Она объяснила.
Will i hope?;Буду ли я надеяться?
I will not hope.;Я не буду надеяться.
I will hope.;Я буду надеяться.
Do i hope?;Я надеюсь?
I don't hope.;Я не надеюсь
I hope.;Я надеюсь.
Did i hope?;Я надеялся?
I didn't hope.;Я не надеялся.
I hoped.;Я надеялся.
Will you hope?;Будете ли вы надеяться?
You will not hope.;Вы не будете надеяться.
You will hope.;Вы будете надеяться.
Do you hope?;Ты надеешься?
You don't hope.;Ты не надеешься.
You hope.;Ты надеешься.
Did you hope?;Ты надеялся?
You didn't hope.;Ты не надеялся.
You hoped.;Вы надеялись.
Will we hope?;Будем ли мы надеяться?
We will not hope.;Мы не будем надеяться.
We will hope.;Будем надеяться.
Do we hope?;Надеемся ли мы?
We don't hope.;Мы не надеемся.
We hope.;Мы надеемся.
Did we hope?;Мы надеялись?
We didn't hope.;Мы не надеялись.
We hoped.;Мы надеялись.
Will they hope?;Будут ли они надеяться?
They will not hope.;Они не будут надеяться.
They will hope.;Они будут надеяться.
Do they hope?;Они надеются?
They don't hope.;Они не надеются.
They hope.;Они надеются.
Did they hope?;Они надеялись?
They didn't hope.;Они не надеялись.
They hoped.;Они надеялись.
Will he hope?;Будет ли он надеяться?
He will not hope.;Он не будет надеяться.
He will hope.;Он будет надеяться.
Does he hope?;Он надеется?
He doesn't hope.;Он не надеется.
He hopes.;Он надеется.
Did he hope?;Он надеялся?
He didn't hope.;Он не надеялся.
He hoped.;Он надеялся.
Will she hope?;Будет ли она надеяться?
She will not hope.;Она не будет надеяться.
She will hope.;Она будет надеяться.
Does she hope?;Она надеется?
She doesn't hope.;Она не надеется.
She hopes.;Она надеется.
Did she hope?;Она надеялась?
She didn't hope.;Она не надеялась.
She hoped.;Она надеялась.
Will i develop?;Буду ли я развиваться?
I will not develop.;Я не буду развиваться.
I will develop.;Я буду развиваться.
Do i develop?;Я развиваюсь?
I don't develop.;Я не развиваюсь.
I develop.;Я развиваюсь.
Did i develop?;Я развивался?
I didn't develop.;Я не развивался.
I developed.;Я разработал.
Will you develop?;Будете ли вы развивать?
